NOMOR PRODUK,CODE,JENIS,NAMA,SATUAN,HARGA,VENDOR,STATUS
231,MAT-CSV-00240,,"FLG 4"" JIS 10K SUS 304",PCS,322000,CV. ARDIAN AGUNG TEKNIK,ACTIVE
232,MAT-CSV-00241,,"JASA BUBUT FLG 4"" JIS 10K SUS 304",PCS,100000,CV. ARDIAN AGUNG TEKNIK,ACTIVE
233,MAT-CSV-00242,,Plate 4'x8'x6mm SUS 304,PCS,6870000,CV. ARDIAN AGUNG TEKNIK,ACTIVE
234,MAT-CSV-00243,,Bosean BH-60 Gas Klorin & Alarm,UNIT,5000000,CV. DARMA SAKTI ADIPERKASA,ACTIVE
235,MAT-CSV-00244,,"P2 - Pintu 2500 x 980 Frame 4"", Kaca 5mm",UNIT,2800000,DAIS ALUMUNIUM,ACTIVE
236,MAT-CSV-00245,,"J3 - Jendela 1000 x 400 Frame 4"", Kaca 5mm",UNIT,750000,,ACTIVE
237,MAT-CSV-00246,,"J2 - Jendela 1650 x 900 Frame 4"", Kaca 5mm",UNIT,1400000,,ACTIVE
238,MAT-CSV-00247,,"J1 - Jendela 1650 x 1800, Frame 4"", Kaca 5mm,",UNIT,2200000,,ACTIVE
239,MAT-CSV-00248,,Concrete K-300,M3,1000000,PT KEMBAR HARAPAN JAYA,ACTIVE
240,MAT-CSV-00249,,Pompa Concrete,SHIFT,4500000,,ACTIVE
241,MAT-CSV-00250,,"Plat Bordesh 4'x8""x3mm",LEMBAR,1276500,KARYABENTENG BARU SEMESTA,ACTIVE
242,MAT-CSV-00251,,Siku 60x60x6,BATANG,399600,,ACTIVE
243,MAT-CSV-00252,,Plat Strip 40x4x6m,BATANG,99900,,ACTIVE
244,MAT-CSV-00253,,Thinner KW1,JRG,380000,DUNIA BARU,ACTIVE
245,MAT-CSV-00254,,Seiv 480 Blue Peacok,PAIL,1260000,,ACTIVE
246,MAT-CSV-00255,,Seiv 6610 Grey Primer,PAIL,985000,,ACTIVE
247,MAT-CSV-00256,,FTALIT 147 Yellow,PAIL,1500000,,ACTIVE
248,MAT-CSV-00257,,"Isi Roll 4"" pink",BOX,72000,,ACTIVE
249,MAT-CSV-00258,,"Kuas 2"" Eterna",PCS,10000,,ACTIVE
250,MAT-CSV-00259,,Plat Bar SS304 80x8x6m,BATANG,1920000,WIJAYA MAKMUR SENTOSA,ACTIVE
251,MAT-CSV-00260,,"Pipe SS304 1,5"" x 1m sch20",BATANG,360000,,ACTIVE
252,MAT-CSV-00261,,"FLG SS304 4"" JIS 10K",PCS,116000,,ACTIVE
253,MAT-CSV-00262,,"AS SS304 D: 127mm(5""), Panjang: 75mm",PCS,710000,,ACTIVE
254,MAT-CSV-00263,,KZ SERIES CENTRIC BUTTERFLY VALVE,UNIT,10400000,KOTA SURYABUNGUSU UTAMA,ACTIVE
255,MAT-CSV-00264,,DUCTILE IRON,PCS,0,,ACTIVE
256,MAT-CSV-00265,,DISC SS + PFA 3mm,PCS,0,,ACTIVE
257,MAT-CSV-00266,,SHAFT : 17-4PH,PCS,0,,ACTIVE
258,MAT-CSV-00267,,CONN WAFER TO ANSI 150 FLANGES,PCS,0,,ACTIVE
259,MAT-CSV-00268,,TEMP : -29 TO 150,PCS,0,,ACTIVE
260,MAT-CSV-00269,,"SIZE 4""",PCS,0,,ACTIVE
261,MAT-CSV-00270,,BLIND FLANGE OD : 445mm,UNIT,600000,KRAKATAU MOTOPARTS CILEGON,ACTIVE
262,MAT-CSV-00271,,"LUBANG �4""",PCS,0,,ACTIVE
263,MAT-CSV-00272,,"FLANGE 4""",UNIT,100000,,ACTIVE
264,MAT-CSV-00273,,DUDUKAN SIGHT GLASS,PCS,0,,ACTIVE
265,MAT-CSV-00274,,BUSHING BLADE,UNIT,1300000,,ACTIVE
266,MAT-CSV-00275,,GLAND PACKING,SET,2650000,,ACTIVE
267,MAT-CSV-00276,,"PIPE NEPEL 1""x100 SS304",PCS,22000,MULTI TEKNIK PARTS,ACTIVE
268,MAT-CSV-00277,,"BALL VALVE SANKYO 1"" SS316",PCS,49000,,ACTIVE
269,MAT-CSV-00278,,ROOFING KUNING 12x25 (400),BOX,136000,,ACTIVE
270,MAT-CSV-00279,,"BOX PANEL H600xW400xD250, FREESTANDING",UNIT,500000,BULAN TERANG ELECTRIC,ACTIVE
271,MAT-CSV-00280,,"CREAM, T:2mm, 3 PINTU",PCS,0,,ACTIVE
272,MAT-CSV-00281,,"SCHNEIDER PILOT LAMP D22, 220V, MERAH",PCS,45000,,ACTIVE
273,MAT-CSV-00282,,"SCHNEIDER PILOT LAMP D22, 220V, JINGGA",PCS,45000,,ACTIVE
274,MAT-CSV-00283,,"SCHNEIDER PILOT LAMP D22, 220V, HIJAU",PCS,45000,,ACTIVE
275,MAT-CSV-00284,,"SCHNEIDER PUSH BUTTON D22, No, HIJAU",PCS,50000,,ACTIVE
276,MAT-CSV-00285,,"SCHNEIDER PUSH BUTTON D22, Nc, MERAH",PCS,50000,,ACTIVE
277,MAT-CSV-00286,,CONTACTOR LC1-D09M7,PCS,180000,,ACTIVE
278,MAT-CSV-00287,,"DOMAE MCCB 1P, 2A",PCS,85000,,ACTIVE
279,MAT-CSV-00288,,"DOMAE MCCB 3P, 50A",PCS,600000,,ACTIVE
280,MAT-CSV-00289,,"FUSE CARRIER 1 KUTUB 10,3 x 38",PCS,15000,,ACTIVE
281,MAT-CSV-00290,,"FUSE CATRIDGE, GG 10,3 x 38, 5A",PCS,300000,,ACTIVE
282,MAT-CSV-00291,,LAMPU TL 2x18 WATT LED + KAP,SET,285000,,ACTIVE
283,MAT-CSV-00292,,"KABEL NYYHY 3x1,5",ROLL,1400000,,ACTIVE
284,MAT-CSV-00293,,PIPA PVC M20,BATANG,17500,,ACTIVE
285,MAT-CSV-00294,,ELBOW PVC M20,PAK,130000,,ACTIVE
286,MAT-CSV-00295,,SOCKET PVC M20,PAK,130000,,ACTIVE
287,MAT-CSV-00296,,Plat Hitam CS 4'x8x12mm,LEMBAR,3907250,KARYABENTENG BARU SEMESTA,ACTIVE
288,MAT-CSV-00297,,Plat Hitam CS 4'x8x25mm,LEMBAR,8424900,,ACTIVE
289,MAT-CSV-00298,,SIKU 50x50x5x6m,BATANG,260850,,ACTIVE
290,MAT-CSV-00300,,Plat Hitam CS 4'x8x10mm,LEMBAR,3230100,,ACTIVE
291,MAT-CSV-00301,,WF 150x75x12m,BATANG,2503050,,ACTIVE
292,MAT-CSV-00302,,"CNP 150x50x3,2mm",BATANG,549450,,ACTIVE
293,MAT-CSV-00303,,Fire blanket 1mm putih,ROLL,1750000,VICTOR TEKNIK MANDIRI,ACTIVE
294,MAT-CSV-00304,,Kapur Besi F-Premium,PACK,14000,,ACTIVE
295,MAT-CSV-00305,,Paint Marker Hitam snowman,LUSIN,16500,,ACTIVE
296,MAT-CSV-00306,,Paint Marker Putih snowman,LUSIN,16500,,ACTIVE
297,MAT-CSV-00307,,Kabel Las 70mm Superflex (100m),ROLL,6750000,,ACTIVE
298,MAT-CSV-00308,,Mesin Las Hugong weldmax 251,UNIT,4000000,,ACTIVE
299,MAT-CSV-00309,,Stang las kurthaufe 600a,PCS,57500,,ACTIVE
300,MAT-CSV-00310,,Konektor las Male 35-50,PCS,25000,,ACTIVE
301,MAT-CSV-00311,,"Meteran 7,5m",PCS,45000,,ACTIVE
302,MAT-CSV-00312,,Siku tukang kecil,PCS,45000,,ACTIVE
303,MAT-CSV-00313,,Siku tukang besar,PCS,85000,,ACTIVE
304,MAT-CSV-00314,,Kunci inggris 6,PCS,44000,,ACTIVE
305,MAT-CSV-00315,,Kunci - Kunci set,SET,583000,,ACTIVE
306,MAT-CSV-00316,,"Cutting Disc 4""x1.2mm Merk WD",PCS,3500,,ACTIVE
307,MAT-CSV-00317,,Kunci L tekiro,SET,112000,,ACTIVE
308,MAT-CSV-00318,,Spray gun meiji tangki bawah,SET,245000,,ACTIVE
309,MAT-CSV-00319,,Panel Meter MT4W-DA-4N,PCS,581081,SAHABAT JAYA BERSAMA,ACTIVE
310,MAT-CSV-00320,,Indicator KN1000-B,PCS,1855856,,ACTIVE
311,MAT-CSV-00324,,"Pintu site 1 Alumunium Frame 4"" Kaca 5mm",UNIT,2800000,,ACTIVE
312,MAT-CSV-00325,,"Jendela Alumunium Frame 4"" Kaca 5mm Slide",UNIT,2200000,,ACTIVE
313,MAT-CSV-00326,,Concrete K-250,M3,910000,PT KEMBAR HARAPAN JAYA,ACTIVE
314,MAT-CSV-00327,,Kawat nyamuk,M,10000,PD MUTIARA INDAH,ACTIVE
315,MAT-CSV-00328,,Spray gun,PCS,150000,,ACTIVE
316,MAT-CSV-00329,,Majun warna,KG,10000,,ACTIVE
317,MAT-CSV-00330,,Nachi Mata bor 2mm,PCS,20000,,ACTIVE
318,MAT-CSV-00331,,Nachi Mata bor 3mm,PCS,20000,,ACTIVE
319,MAT-CSV-00332,,Gunting Bajaringan,PCS,45000,,ACTIVE
320,MAT-CSV-00333,,Tang Kombinasi,PCS,55000,,ACTIVE
321,MAT-CSV-00334,,Tang Potong,PCS,52500,,ACTIVE
322,MAT-CSV-00335,,Mata obeng,PCS,75000,,ACTIVE
323,MAT-CSV-00336,,Roofing 12x75,BOX,173750,PD PANJI RIMBA TEKNIK,ACTIVE
324,MAT-CSV-00337,,Asdrat 8x1 Galv,BATANG,11075,,ACTIVE
325,MAT-CSV-00338,,Nut galv M8,PCS,210,,ACTIVE
326,MAT-CSV-00339,,Bolt Nut galv M8x25,PCS,605,,ACTIVE
327,MAT-CSV-00340,,Roofing 12x25,BOX,173750,,ACTIVE
328,MAT-CSV-00341,,"Reducer Concentric sus304 sch 40 1""x1/2"" welded",PCS,41000,CILEGON JAYA SUPLINDO,ACTIVE
329,MAT-CSV-00342,,"Elbow 90 sus304 sch 40 1"" welded",PCS,51000,,ACTIVE
330,MAT-CSV-00343,,Mata obeng ph262mm blackfoot,PCS,10000,,ACTIVE
331,MAT-CSV-00344,,"Skrup Gypsum 6x1,4",BOX,65000,,ACTIVE
332,MAT-CSV-00345,,"Ballvalve 1"" ss316 1000wg",PCS,100000,KARYA TEKNIK MANDIRI,ACTIVE
333,MAT-CSV-00346,,BM ss304 16x40,PCS,28000,KRAKATAU MOTOPARTS CILEGON,ACTIVE
334,MAT-CSV-00347,,I ss304 10x40,PCS,11000,,ACTIVE
335,MAT-CSV-00348,,"Pipa Nepel 1/4"" x 100 sch 40 CS",PCS,20000,,ACTIVE
336,MAT-CSV-00349,,"Pipa Nepel 3/8"" x 100 sch 40 CS",PCS,22000,,ACTIVE
337,MAT-CSV-00350,,Baut Kuning 12x75,PCS,3500,,ACTIVE
338,MAT-CSV-00351,,Baut Kuning 12x100,PCS,4500,,ACTIVE
339,MAT-CSV-00352,,As kotak Stainless,BATANG,107000,,ACTIVE
340,MAT-CSV-00353,,Nepel greas 1/4 stainless,PCS,18700,,ACTIVE
341,MAT-CSV-00354,,"Socket drat dalam stainless 1/4""",PCS,9880,,ACTIVE
342,MAT-CSV-00355,,"Pipa Nepel 1/4"" x 100 sch 40 ss304",PCS,9880,,ACTIVE
343,MAT-CSV-00356,,"Flange 4"" Bubut Sightglass",PCS,100000,,ACTIVE
344,MAT-CSV-00357,,Box Panel Outdoor Double Door,UNIT,16500000,BULAN TERANG ELECTRIC,ACTIVE
345,MAT-CSV-00358,,ss 1800x800x600 (sesuai contoh),PCS,0,,ACTIVE
346,MAT-CSV-00359,,Box Panel Outdoor Double Door,UNIT,14000000,,ACTIVE
347,MAT-CSV-00360,,ss 1000x800x600 (sesuai contoh),PCS,0,,ACTIVE
348,MAT-CSV-00361,,Inverter 2.2KW,PCS,7875000,,ACTIVE
349,MAT-CSV-00362,,Teco A510,PCS,0,,ACTIVE
350,MAT-CSV-00365,,Paint Marker Hitam snowman,PCS,16500,,ACTIVE
351,MAT-CSV-00366,,Paint Marker Putih snowman,PCS,16500,,ACTIVE
352,MAT-CSV-00379,,"Pipa Nepel 1"" sch 20 Panjang 20cm",PCS,65000,,ACTIVE
353,MAT-CSV-00380,,argon wg,TABUNG,250000,IWAN ARGON,ACTIVE
354,MAT-CSV-00381,,Oksigen,TABUNG,75000,,ACTIVE
355,MAT-CSV-00382,,Indikator KN-1400B Output,UNIT,2025226,SAHABAT JAYA BERSAMA,ACTIVE
356,MAT-CSV-00383,,"PNEUMATIC BALL VALVE ""MDT""",UNIT,5500000,PD HARAPAN PERSADA,ACTIVE
357,MAT-CSV-00384,,"2""",PCS,0,,ACTIVE
358,MAT-CSV-00385,,BODY : SS 304,PCS,0,,ACTIVE
359,MAT-CSV-00386,,BALL & STEM : SS 304,PCS,0,,ACTIVE
360,MAT-CSV-00387,,SEAT : PTFE,PCS,0,,ACTIVE
361,MAT-CSV-00388,,"C/W : DOUBLE ACTING ACTUATOR ""KP"" SERIES",PCS,0,,ACTIVE
362,MAT-CSV-00389,,AND SOLENOID VALVE NAMUR 220 VAC,PCS,0,,ACTIVE
363,MAT-CSV-00390,,"PNEUMATIC CONTROL GLOBE VALVE ""CONFLOW""",UNIT,25650000,,ACTIVE
364,MAT-CSV-00391,,BODY : CAST IRON,PCS,0,,ACTIVE
365,MAT-CSV-00392,,BONNET : STANDARD TYPE,PCS,0,,ACTIVE
366,MAT-CSV-00393,,TRIM : SS 316,PCS,0,,ACTIVE
367,MAT-CSV-00394,,PLUG-CHARATERISTIC : LINEAR,PCS,0,,ACTIVE
368,MAT-CSV-00395,,PACKING : PTFE 85% + GRAPHITE 15%,PCS,0,,ACTIVE
369,MAT-CSV-00396,,END STD : FLANGE DIN PN 16 RF,PCS,0,,ACTIVE
370,MAT-CSV-00397,,"ACTUATOR : DIAPHRAGM, SPRING RETURN,",PCS,0,,ACTIVE
371,MAT-CSV-00398,,"FAIL CLOSE,",PCS,0,,ACTIVE
372,MAT-CSV-00399,,"C/W : POSITIONER, LINEAR TYPE",PCS,0,,ACTIVE
373,MAT-CSV-00400,,FILTER REGULATOR,PCS,0,,ACTIVE
374,MAT-CSV-00401,,"PNEUMATIC CONTROL GLOBE VALVE ""CONFLOW""",UNIT,38700000,,ACTIVE
375,MAT-CSV-00403,,BODY : 14408,PCS,0,,ACTIVE
376,MAT-CSV-00412,,"1"" (SAME AS ABOVE)",UNIT,28080000,,ACTIVE
377,MAT-CSV-00413,,PLAFON PVC 6m x 20cm,LEMBAR,66000,INDOMEGA ALUMUNIUM,ACTIVE
378,MAT-CSV-00414,,LIST PVC LM 016,BATANG,44000,,ACTIVE
379,MAT-CSV-00415,,SILICONE PUTIH,BOTOL,24500,,ACTIVE
380,MAT-CSV-00416,,ELBOW CS HITAM,PCS,18000,MUTIARA INDAH,ACTIVE
381,MAT-CSV-00417,,VINILEX V 300 CAT PUTIH,PAIL,850000,,ACTIVE
382,MAT-CSV-00418,,SIKA GROUT 215 25KG,SAK,116000,,ACTIVE
383,MAT-CSV-00419,,COMPOUND 40KG,SAK,63000,,ACTIVE
384,MAT-CSV-00420,,FIBERGLASS TAPE,PCS,15000,,ACTIVE
385,MAT-CSV-00421,,SILICONE SEALENT,PCS,22000,,ACTIVE
386,MAT-CSV-00422,,"KUAS CAT ETERNA 3""",PCS,12500,,ACTIVE
387,MAT-CSV-00423,,"ROLL CAT 9""",PCS,40000,,ACTIVE
388,MAT-CSV-00424,,"ISI ROLL CAT 9""",PCS,18000,,ACTIVE
389,MAT-CSV-00425,,KAPE PVC,PCS,7000,,ACTIVE
390,MAT-CSV-00426,,BAUT SDS 4CM,BOX,175000,,ACTIVE
391,MAT-CSV-00427,,BOLT NUT GALVANIS 16x55,PCS,4160,PD PANJI RIMBA TEKNIK,ACTIVE
392,MAT-CSV-00428,,BOLT NUT GALVANIS 18x65,PCS,7705,,ACTIVE
393,MAT-CSV-00429,,BOLT NUT SS 304 14x55,PCS,18955,,ACTIVE
394,MAT-CSV-00430,,BOLT NUT SS 304 16x50,PCS,22640,,ACTIVE
395,MAT-CSV-00431,,"SDS T4 H 8x32""",PCS,230,,ACTIVE
396,MAT-CSV-00432,,BOLT NUT SS 304 16x100,PCS,43500,,ACTIVE
397,MAT-CSV-00433,,BOLT NUT SS 304 12x100,PCS,23500,,ACTIVE
398,MAT-CSV-00434,,FITTING ANGIN NEPEL CONECTOR 3/8 8MM KB34,PCS,4160,PD PNEUMATIC HARDWARE,ACTIVE
399,MAT-CSV-00435,,NEPEL GREASE 1/4 NPT 45,PCS,7705,,ACTIVE
400,MAT-CSV-00436,,SOCKET STAINLESS 304 3/8,PCS,18955,,ACTIVE
401,MAT-CSV-00437,,H-BEAM 350x12,BATANG,31834800,KARYABENTENG BARU SEMESTA,ACTIVE
402,MAT-CSV-00438,,H-BEAM 350x12,BATANG,31834800,,ACTIVE
403,MAT-CSV-00439,,H-BEAM 300x12,BATANG,21955800,,ACTIVE
404,MAT-CSV-00440,,H-BEAM 100x12,BATANG,3330000,,ACTIVE
405,MAT-CSV-00441,,WF 400x200x8x13x12,BATANG,14696400,,ACTIVE
406,MAT-CSV-00442,,WF 300x150x6x9x12,BATANG,7714500,,ACTIVE
407,MAT-CSV-00443,,WF 250x125x6x9x12,BATANG,5738700,,ACTIVE
408,MAT-CSV-00446,,WF 150x75x5x12,BATANG,2430900,,ACTIVE
409,MAT-CSV-00447,,"Elbow 90 sus304 sch 40 1"" welded",PCS,55000,CILEGON JAYA SUPLINDO,ACTIVE
410,MAT-CSV-00448,,"Elbow 45 sus304 sch 40 1"" welded",PCS,73850,,ACTIVE
411,MAT-CSV-00449,,Mur m16 ss 304,PCS,7200,,ACTIVE
412,MAT-CSV-00450,,"AMPLAS VELCRO TEMPEL 4"" GRIT 1200",PCS,3300,MARKETPLACE TOKOPEDIA,ACTIVE
413,MAT-CSV-00451,,"AMPLAS VELCRO TEMPEL 4"" GRIT 60",PCS,750,,ACTIVE
414,MAT-CSV-00452,,"TATAKAN AMPLAS VELCRO 4"" PAD M10",PCS,5850,,ACTIVE
415,MAT-CSV-00453,,LMRS T-DUS 20mm 3 & 4 PUTIH,PCS,2500,,ACTIVE
416,MAT-CSV-00454,,PLAT KAPAL 5'x20'x 6mm CS,LEMBAR,6789000,MEGA BAJA BALARAJA,ACTIVE
417,MAT-CSV-00455,,"PIPA HITAM 3""x2,0mm CS",BATANG,545000,,ACTIVE
418,MAT-CSV-00456,,SIKU 50x5x6m CS,BATANG,330000,,ACTIVE
419,MAT-CSV-00457,,"PNEUMATIC CONTROL GLOBE VALVE ""CONFLOW"" 2�""",UNIT,39000000,PD HARAPAN PERSADA,ACTIVE
420,MAT-CSV-00468,,PROX SENSOR PRCMT12-400 DC NO 2 WHITE,UNIT,168469,SAHABAT JAYA BERSAMA,ACTIVE
421,MAT-CSV-00469,,CONNECTOR CABLE CID2-2 4Pin 2WIRE 2M,UNIT,70270,,ACTIVE
422,MAT-CSV-00470,,BRAND : AUTONICS,PCS,0,,ACTIVE
423,MAT-CSV-00471,,SIKU 50x50x5x6m,BATANG,266400,KARYABENTENG BARU SEMESTA,ACTIVE
424,MAT-CSV-00472,,DRYWAL 6 x 1,PCS,60,CILEGON CENTRAL BAUT,ACTIVE
425,MAT-CSV-00473,,SDF JF 10 x 1,PCS,300,,ACTIVE
426,MAT-CSV-00474,,KUNCI RACHET 17 x 19,PCS,135000,PD MUTIARA INDAH,ACTIVE
427,MAT-CSV-00475,,MATA ROOFING MAGNET TOMECO,PCS,13000,,ACTIVE
428,MAT-CSV-00476,,"NYAF KITANI 1 x 1,5mm 50m",ROLL,170000,,ACTIVE
429,MAT-CSV-00477,,KABEL TIES 20CM,PCS,15000,,ACTIVE
430,MAT-CSV-00478,,BOR BATERAI,UNIT,500000,,ACTIVE
431,MAT-CSV-00479,,MOBLIE CRANE 25T,SHIFT,6000000,PT KEMBAR HARAPAN JAYA,ACTIVE
432,MAT-CSV-00480,,BOLT NUT M22 x 90 SS304,PCS,70200,CILEGON CENTRAL BAUT,ACTIVE
433,MAT-CSV-00481,,BOLT NUT M18 x 45 HTB 8.8 FD,PCS,9300,,ACTIVE
434,MAT-CSV-00482,,PU TUBE CUBING 8 x 5 x 100m,ROLL,650000,BULAN TERANG ELECTRIC,ACTIVE
435,MAT-CSV-00483,,"MINI SIREN 4"" 220",PCS,850000,,ACTIVE
436,MAT-CSV-00484,,"SDS 6X1"" 25mm FF",BOX,225000,BOLT NUT FASTENER,ACTIVE
437,MAT-CSV-00485,,"SDS 6X2"" 55mm FF",BOX,390000,,ACTIVE
438,MAT-CSV-00486,,"SKRUP GYPSUM 6X1"" HITAM",BOX,78000,,ACTIVE
439,MAT-CSV-00487,,AS DRAT M8 GALVANIS,BATANG,17000,,ACTIVE
440,MAT-CSV-00488,,NUT M8 GALVANIS,PCS,430,,ACTIVE
441,MAT-CSV-00489,,KASA GYPSUM 5,ROLL,16500,PD MUTIARA INDAH,ACTIVE
442,MAT-CSV-00490,,LIST PVC LM016,BATANG,50000,,ACTIVE
443,MAT-CSV-00491,,SILICONE PUTIH,BOTOL,26500,,ACTIVE
444,MAT-CSV-00492,,CAT TEMBOK VINILEX P300,PAIL,875000,,ACTIVE
445,MAT-CSV-00493,,FLEXIBLE CONDUIT 20mm,ROLL,360000,,ACTIVE
446,MAT-CSV-00494,,PAVING BLOCK MODEL BATA,M2,190000,PT. EPN,ACTIVE
447,MAT-CSV-00495,,20X10,PCS,0,,ACTIVE
448,MAT-CSV-00496,,K-300,PCS,0,,ACTIVE
449,MAT-CSV-00497,,PROSES PRODUKSI :,PCS,0,,ACTIVE
450,MAT-CSV-00498,,SIAP KIRIM,PCS,0,,ACTIVE
451,MAT-CSV-00499,,"INCLUDE ONGKIR, LOADING, UNLOADING",PCS,0,,ACTIVE
452,MAT-CSV-00500,,EXCLUDE : PALLET,UNIT,25000,,ACTIVE
453,MAT-CSV-00501,,"JASA ROLL PIPA 3"" RD 703",BATANG,150000,MITRA BAJA PERSADA,ACTIVE
454,MAT-CSV-00502,,JASA ROLL PLAT T6 5X20 780AS,LEMBAR,970000,,ACTIVE
455,MAT-CSV-00503,,ROL SIKU 50X50 TOE OUT,BATANG,90000,,ACTIVE
456,MAT-CSV-00504,,RANTAI DOUBLE RS 120,UNIT,4850000,PT CAKRA ADJI GUNUNG,ACTIVE
457,MAT-CSV-00505,,CAT SEIV 480 BLUE PEACOK,PAIL,1260000,DUNIA BARU,ACTIVE
458,MAT-CSV-00506,,CAT SEIV 6610 GREY PRIMER,PAIIL,985000,,ACTIVE
459,MAT-CSV-00507,,THINNER KW 1,JERIGEN,380000,,ACTIVE
460,MAT-CSV-00508,,CAT VINILEX P300 WHITE INT EXT,PAIL,800000,DUNIA BARU,ACTIVE
461,MAT-CSV-00509,,"REFIL ROLL 4"" PINEHILL",BOX,50000,,ACTIVE
462,MAT-CSV-00510,,"KUAS 2"" OWNER",PCS,5000,,ACTIVE
463,MAT-CSV-00511,,PLAFON PVC 6m x 20cm,LEMBAR,44000,INDOMEGA ALUMUNIUM,ACTIVE
464,MAT-CSV-00513,,RETUR PLAFON,LOT,990000,,ACTIVE
465,MAT-CSV-00514,,WF 400x200x8x13x12,BATANG,14696400,KARYABENTENG BARU SEMESTA,ACTIVE
466,MAT-CSV-00520,,"CNP 100x6m 2,3mm",BATANG,321900,,ACTIVE
467,MAT-CSV-00521,,"PIPA HITAM CS 1"" x 2,8mm x 6m",BATANG,199800,,ACTIVE
468,MAT-CSV-00523,,WF 150x75x5x6,BATANG,1265400,,ACTIVE
469,MAT-CSV-00524,,PLAT HITAM CS 4'x8'x8mm,LEMBAR,2719500,,ACTIVE
470,MAT-CSV-00525,,PLAT HITAM CS 4'x8'x2mm,LEMBAR,754800,,ACTIVE
471,MAT-CSV-00526,,JASA PASANG PAVING BLOCK,M2,32000,PT. EPN,ACTIVE
472,MAT-CSV-00532,,"MOBDEMOB, INC STEMP,",UNIT,6500000,,ACTIVE
473,MAT-CSV-00533,,"NYM 3x2,5m KABEL TUNGGAL",ROLL,800000,PD MUTIARA INDAH,ACTIVE
474,MAT-CSV-00534,,STOP KONTAK AC,SET,65000,,ACTIVE
475,MAT-CSV-00535,,KABEL TIES ATN 3 X 150MM,PACK,8000,,ACTIVE
476,MAT-CSV-00536,,"KABEL TIES TORCH 3,6 X 250MM",PACK,18000,,ACTIVE
477,MAT-CSV-00537,,KABEL TIES ATN 4 X 250MM,PACK,15000,,ACTIVE
478,MAT-CSV-00538,,HELM MERAH SAFETY SPR,PCS,23000,,ACTIVE
479,MAT-CSV-00539,,SEAL TAPE ONDA,PCS,5000,,ACTIVE
480,MAT-CSV-00540,,NACHI TAPE,PCS,10000,,ACTIVE
481,MAT-CSV-00541,,ELECTRIC TAPE NITTO,PCS,10000,,ACTIVE
482,MAT-CSV-00542,,OBENG + E,PCS,11000,,ACTIVE
483,MAT-CSV-00543,,CUTTER 16,PCS,10000,,ACTIVE
484,MAT-CSV-00544,,BOLT NUT M16X60 SS304,PCS,24830,PANJI RIMBA TEKNIK,ACTIVE
485,MAT-CSV-00545,,BOLT NUT M10X50 SS304 L,PCS,16290,,ACTIVE
486,MAT-CSV-00546,,"LEVERBLOCK 3TON x 1,5m",UNIT,2497000,VICTOR TEKNIK MANDIRI,ACTIVE
487,MAT-CSV-00548,,CAT SEIV 6610 PRIMER GREY,PAIL,985000,,ACTIVE
488,MAT-CSV-00549,,PROXIMITY SENSOR PRL 18-8DP,PCS,209910,SAHABAT JAYA BERSAMA,ACTIVE
489,MAT-CSV-00550,,BOX PANEL OUTDOOR PVC 400X400X200,PCS,1300000,BULAN TERANG ELECTRIC,ACTIVE
490,MAT-CSV-00551,,RELAY + SOCKET 24VDC OMRON 4TK,PCS,65000,,ACTIVE
491,MAT-CSV-00552,,CABLE SIGNAL 2C HWG18/305M (2000M),ROLL,3850000,,ACTIVE
492,MAT-CSV-00553,,CABLE SIGNAL 3C HWG 18/30M (1000M),ROLL,7150000,,ACTIVE
493,MAT-CSV-00554,,"CABLE POWER 1CX1,0MM NYAF",PCS,3200,,ACTIVE
494,MAT-CSV-00555,,"CABLE POWER 2CX1,0MM NYAF",PCS,12000,,ACTIVE
495,MAT-CSV-00556,,"CABLE POWER 3CX1,0MM NYAF",PCS,15000,,ACTIVE
496,MAT-CSV-00557,,"CABLE POWER 20CX1,0MM NYAF",M,70000,,ACTIVE
497,MAT-CSV-00558,,SELECTOR SWITCH AUTO/MAN22 SCHNEIDER,PCS,95000,,ACTIVE
498,MAT-CSV-00559,,MCB 100A SCHNEIDER,PCS,600000,,ACTIVE
499,MAT-CSV-00560,,CERAMIC FUSE 10A+RUMAH,PCS,5000,,ACTIVE
500,MAT-CSV-00561,,CERAMIC FUSE 5A+RUMAH,PCS,15000,,ACTIVE
501,MAT-CSV-00562,,EMI FILTER 120/250VAC,PCS,175000,,ACTIVE
502,MAT-CSV-00563,,PUSH BUTTON ON 22 SCHNEIDER,PCS,45000,,ACTIVE
503,MAT-CSV-00564,,PUSH BUTTON OFF 22 SCHNEIDER,PCS,45000,,ACTIVE
504,MAT-CSV-00565,,MAIN MCB 6A LS DC 6A,PCS,65000,,ACTIVE
505,MAT-CSV-00566,,PILOT LAMP 24VDC 22 SCHNEIDER,PCS,45000,,ACTIVE
506,MAT-CSV-00567,,INDIKATOR ALARM,PCS,65000,,ACTIVE
507,MAT-CSV-00568,,TERMINAL BLOCK RAIL TYPE TBC 10A,PACK,200000,,ACTIVE
508,MAT-CSV-00569,,PIPA CONDUIT 20MM,BATANG,17500,,ACTIVE
509,MAT-CSV-00570,,ELBOW CONDUIT 20MM 30PCS,PCS/PCK,130000,,ACTIVE
510,MAT-CSV-00571,,SOCKET CONDUIT 20MM 30PCS,PCS/PCK,130000,,ACTIVE
511,MAT-CSV-00572,,DC POWER SUPPLY QUINT 2A24VDC,PCS,250000,,ACTIVE
