NOMOR PRODUK,CODE,JENIS,NAMA,SATUAN,HARGA,VENDOR,STATUS,NOTE
19,MAT-CSV-00019,CS,"Tee 2""",Pcs,50000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
20,MAT-CSV-00020,JIS 10K CS,"Flange 2""",Pcs,68000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
21,MAT-CSV-00021,JIS 10K CS,"Flange 4""",Pcs,126000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
22,MAT-CSV-00022,GALVANIS,Asdrat M22x100,Batang,79000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
23,MAT-CSV-00023,GALVANIS,Mur M22,Pcs,3300,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
24,MAT-CSV-00024,GALVANIS,Bolt+Nut M16 x 65,Pcs,4200,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
25,MAT-CSV-00025,SUS 304,Siku 50x50x5,Batang,1400000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
26,MAT-CSV-00026,SBX (GLODOK - CILEGON),Ongkos Kirim,LOT,250000,SERANG BANTEN EXPRESS,ACTIVE,INSERTED
27,MAT-CSV-00027,SBX (GLODOK - CILEGON),Ongkos Kirim,LOT,300000,SERANG BANTEN EXPRESS,ACTIVE,INSERTED
28,MAT-CSV-00028,GOSAVE,Webbing sling belt 5Ton x 6m,Set,582750,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
29,MAT-CSV-00029,GOSAVE,Webbing sling belt 3Ton x 6m,set,349650,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
30,MAT-CSV-00030,NACHI - CS,Mata bor nachi 4mm,Pcs,32190,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
31,MAT-CSV-00031,NACHI - CS,Mata bor nachi 5mm,Pcs,42069,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
32,MAT-CSV-00032,NACHI - CS,Mata bor nachi 6mm,Pcs,53280,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
33,MAT-CSV-00033,NACHI - CS,Mata bor nachi 7mm,Pcs,66600,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
34,MAT-CSV-00034,NACHI - CS,Mata bor nachi 8mm,Pcs,100122,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
35,MAT-CSV-00035,JASA PASANG PAVING,Akomodasi dan Transportasi Pekerja,LOT,6500000,PT. CISANGKAN - BORONGAN,ACTIVE,INSERTED
36,MAT-CSV-00036,JASA PASANG PAVING,Jasa Pasang Paving ALSTAD 4/5,m2,30000,PT. CISANGKAN - BORONGAN,ACTIVE,INSERTED
37,MAT-CSV-00037,TIGON,Mesin Vibrator Concrete + Selang 6m,Unit,2750000,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
38,MAT-CSV-00038,SDS - KARET,Roofing Kuning SDS 12x25 (400pcs),Box,137000,PT. PANJI RIMBA TEKNIK,ACTIVE,INSERTED
39,MAT-CSV-00039,Tabung,Argon,Tabung,250000,PT. BANTEN MANDIRI (IWAN),ACTIVE,INSERTED
40,MAT-CSV-00040,CS,"CNP 100x2,3x6m",Batang,299700,PT. KBBS,ACTIVE,INSERTED
41,MAT-CSV-00041,CS,"CNP 125x2,3x6m",Batang,333000,PT. KBBS,ACTIVE,INSERTED
42,MAT-CSV-00042,CS,UNP 100x5,Batang,505050,PT. KBBS,ACTIVE,INSERTED
43,MAT-CSV-00043,CS,UNP 100x5,Batang,505050,PT. KBBS,ACTIVE,INSERTED
44,MAT-CSV-00044,CS,"Holo 40x40x1,2mm",Batang,127650,PT. KBBS,ACTIVE,INSERTED
45,MAT-CSV-00045,CS,Siku 50x50x5x6m,Batang,283050,PT. KBBS,ACTIVE,INSERTED
46,MAT-CSV-00046,CS,Flat bar 100x60,Batang,377400,PT. KBBS,ACTIVE,INSERTED
