code,jenis,name,satuan,harga,vendor
MT-2026-0207,,Plat CS Tebal 20mm 220x250,PCS,225000,PASS STEEL
MT-2026-0208,,Dynabolt 12x90,PCS,2880,PANJI RIMBA TEKNIK
MT-2026-0209,,Wastafel Triliun Lilac White,UNIT,335000,TB. MUTIARA INDAH
MT-2026-0210,,Shower Onda SO 230,UNIT,180000,TB. MUTIARA INDAH
MT-2026-0211,,Mata Bor Beton,PCS,48000,TB. MUTIARA INDAH
MT-2026-0212,,Saringan air bawah wastafel,PCS,25000,TB. MUTIARA INDAH
MT-2026-0213,,"Paku Rivet 4,8",BOX,65000,TB. MUTIARA INDAH
MT-2026-0214,,Kran wastafel,PCS,135000,TB. MUTIARA INDAH
MT-2026-0215,,Kran shower,PCS,45000,TB. MUTIARA INDAH
MT-2026-0216,,"FLG 20"" JIS 5K (N - 1)",PCS,3350000,PT. KARSA INTI SEJIWA
MT-2026-0217,,"BLIND FLG 20"" JIS 5K (N - 1)",PCS,8350000,PT. KARSA INTI SEJIWA
MT-2026-0218,,"FLG 4"" JIS10K (N - 1)",PCS,340000,PT. KARSA INTI SEJIWA
MT-2026-0219,,"FLG 12"" JIS10K (yg ready)",PCS,2950000,PT. KARSA INTI SEJIWA
